source,target,type
ก๑๐๐,ก๑๐๐_8,broader
ก๑๐๐,ก๑๐๐_9,broader
ก๑๐๑,ก๑๐๑_1,broader
ก๑๐๑,ก๑๐๑_2,broader
ก๑๐๑,ก๑๐๑_3,broader
ก๑๐๑,ก๑๐๑_4,broader
ก๑๐๑,ก๑๐๑_5,broader
ก๑๐๑,ก๑๐๑_6,broader
ก๑๐๑,ก๑๐๑_7,broader
ก๑๐๒,ก๑๐๒_1,broader
ก๑๐๒,ก๑๐๒_2,broader
ก๑๐๒,ก๑๐๒_3,broader
ก๑๐๒,ก๑๐๒_4,broader
ก๑๐๒,ก๑๐๒_5,broader
ก๑๐๒,ก๑๐๒_6,broader
ก๑๐๒,ก๑๐๒_7,broader
ก๑๐๒,ก๑๐๒_8,broader
ก๑๐๒,ก๑๐๒_9,broader
ก๑๐๒,ก๑๐๒_10,broader
ก๑๐๒,ก๑๐๒_11,broader
ก๑๐๒,ก๑๐๒_12,broader
ก๑๐๒,ก๑๐๒_13,broader
ก๑๐๒,ก๑๐๒_14,broader
ก๑๐๒,ก๑๐๒_15,broader
ก๑๐๓,ก๑๐๓_1,broader
ก๑๐๓,ก๑๐๓_2,broader
ก๑๐๓,ก๑๐๓_3,broader
ก๑๐๔,ก๑๐๔_1,broader
ก๑๐๔,ก๑๐๔_2,broader
ก๑๐๔,ก๑๐๔_3,broader
ก๑๐๔,ก๑๐๔_4,broader
ก๑๐๔,ก๑๐๔_5,broader
ก๑๐๔,ก๑๐๔_6,broader
ก๑๐๔,ก๑๐๔_7,broader
ก๑๐๖,ก๑๐๖_1,broader
ก๑๐๗,ก๑๐๗_1,broader
ก๑๐๘,ก๑๐๘_1,broader
ก๑๐๘,ก๑๐๘_2,broader
ก๑๐๘,ก๑๐๘_3,broader
ก๑๐๘,ก๑๐๘_4,broader
ก๑๐๘,ก๑๐๘_5,broader
ก๑๐๙,ก๑๐๙_1,broader
ก๑๐๙,ก๑๐๙_2,broader
ก๑๐๙,ก๑๐๙_3,broader
ก๑๐๙,ก๑๐๙_4,broader
ก๑๐๙,ก๑๐๙_5,broader
ก๑๐๙,ก๑๐๙_6,broader
ก๑๑๐,ก๑๑๐_1,broader
ก๑๑๑,ก๑๑๑_1,broader
ก๑๑๑,ก๑๑๑_2,broader
ก๑๑๑,ก๑๑๑_3,broader
ก๑๑๑,ก๑๑๑_4,broader
ก๑๒๐,ก๑๒๐_1,broader
ก๑๒๐,ก๑๒๐_2,broader
ก๑๒๐,ก๑๒๐_3,broader
ก๑๒๐,ก๑๒๐_4,broader
ก๑๒๐,ก๑๒๐_5,broader
ก๑๒๐,ก๑๒๐_6,broader
ก๑๒๐,ก๑๒๐_7,broader
ก๑๒๐,ก๑๒๐_8,broader
ก๑๒๐,ก๑๒๐_9,broader
ก๑๒๐,ก๑๒๐_10,broader
ก๑๒๐,ก๑๒๐_11,broader
ก๑๒๐,ก๑๒๐_12,broader
ก๑๒๐,ก๑๒๐_13,broader
ก๑๒๐,ก๑๒๐_14,broader
ก๑๒๐,ก๑๒๐_15,broader
ก๑๒๐,ก๑๒๐_16,broader
ก๑๒๐,ก๑๒๐_17,broader
ก๑๒๐,ก๑๒๐_18,broader
ก๑๒๐,ก๑๒๐_19,broader
ก๑๒๐,ก๑๒๐_20,broader
ก๑๒๑,ก๑๒๑_1,broader
ก๑๒๑,ก๑๒๑_2,broader
ก๑๒๑,ก๑๒๑_3,broader
ก๑๒๑,ก๑๒๑_4,broader
ก๑๒๒,ก๑๒๒_1,broader
ก๑๒๒,ก๑๒๒_2,broader
ก๑๒๒,ก๑๒๒_3,broader
ก๑๒๒,ก๑๒๒_4,broader
ก๑๒๒,ก๑๒๒_5,broader
ก๑๒๒,ก๑๒๒_6,broader
ก๑๒๒,ก๑๒๒_7,broader
ก๑๒๒,ก๑๒๒_8,broader
ก๑๒๒,ก๑๒๒_9,broader
ก๑๒๒,ก๑๒๒_10,broader
ก๑๒๒,ก๑๒๒_11,broader
ก๑๒๒,ก๑๒๒_12,broader
ก๑๒๒,ก๑๒๒_13,broader
ก๑๒๒,ก๑๒๒_14,broader
ก๑๒๓,ก๑๒๓_1,broader
ก๑๒๓,ก๑๒๓_2,broader
ก๑๒๓,ก๑๒๓_3,broader
ก๑๒๓,ก๑๒๓_4,broader
ก๑๒๓,ก๑๒๓_5,broader
ก๑๓๐,ก๑๓๐_1,broader
ก๑๓๐,ก๑๓๐_2,broader
ก๑๓๐,ก๑๓๐_3,broader
ก๑๓๐,ก๑๓๐_4,broader
ก๑๓๐,ก๑๓๐_5,broader
ก๑๓๐,ก๑๓๐_6,broader
